#  n2   n1  \lambda_{t2} \wait_{client,acquire}
 1   1  0.759161 0.117064 
 1   2  1.21766 0.421284 
 1   3  1.46656 0.807742 
 1   4  1.58081 1.27588 
 1   5  1.63252 1.79959 
 1   6  1.6471 2.37255 


 2   1  0.820779 0.0173531 
 2   2  1.51727 0.0395637 
 2   3  2.09303 0.109546 
 2   4  2.51557 0.219158 
 2   5  2.81851 0.365267 
 2   6  3.01235 0.545966 


 3   1  0.829736 0 
 3   2  1.58417 0.0045099 
 3   3  2.26248 0.0134838 
 3   4  2.84725 0.0340449 
 3   5  3.3352 0.0691195 
 3   6  3.70864 0.119662 


