#  n2   n1  \lambda_{client} \wait_{client,acquire} lock_{lock}
 1   1  0.832639 0 0.601 
 1   2  1.36725 0.255487 0.607304 
 1   3  1.58413 0.683744 0.610042 
 1   4  1.62948 1.24405 0.610714 
 1   5  1.63423 1.84874 0.610797 
 1   6  1.6345 2.46002 0.610803 


 2   1  0.832639 0 0.601 
 2   2  1.63108 0 0.626184 
 2   3  2.28356 0.066757 0.646981 
 2   4  2.71487 0.212941 0.660427 
 2   5  2.91583 0.448091 0.666683 
 2   6  2.97396 0.748954 0.668555 


 3   1  0.832639 0 0.601001 
 3   2  1.63108 0 0.626184 
 3   3  2.38273 0 0.659056 
 3   4  3.03205 0.02442 0.694816 
 3   5  3.51685 0.096941 0.724785 
 3   6  3.80525 0.23326 0.743508 


